SYMBOL	ENSEMBL
ABI3BP	ENSG00000154175
ACTA2	ENSG00000107796
ADAM12	ENSG00000148848
ANPEP	ENSG00000166825
APLP1	ENSG00000105290
AREG	ENSG00000109321
BASP1	ENSG00000176788
BDNF	ENSG00000176697
BGN	ENSG00000182492
BMP1	ENSG00000168487
CADM1	ENSG00000182985
CALD1	ENSG00000122786
CALU	ENSG00000128595
CAP2	ENSG00000112186
CAPG	ENSG00000042493
CCN1	ENSG00000142871
CCN2	ENSG00000118523
CD44	ENSG00000026508
CD59	ENSG00000085063
CDH11	ENSG00000140937
CDH2	ENSG00000170558
CDH6	ENSG00000113361
COL11A1	ENSG00000060718
COL12A1	ENSG00000111799
COL16A1	ENSG00000084636
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL3A1	ENSG00000168542
COL4A1	ENSG00000187498
COL4A2	ENSG00000134871
COL5A1	ENSG00000130635
COL5A2	ENSG00000204262
COL5A3	ENSG00000080573
COL6A2	ENSG00000142173
COL6A3	ENSG00000163359
COL7A1	ENSG00000114270
COL8A2	ENSG00000171812
COLGALT1	ENSG00000130309
COMP	ENSG00000105664
COPA	ENSG00000122218
CRLF1	ENSG00000006016
CTHRC1	ENSG00000164932
CXCL1	ENSG00000163739
CXCL12	ENSG00000107562
CXCL6	ENSG00000124875
CXCL8	ENSG00000169429
DAB2	ENSG00000153071
DCN	ENSG00000011465
DKK1	ENSG00000107984
DPYSL3	ENSG00000113657
DST	ENSG00000151914
ECM1	ENSG00000143369
ECM2	ENSG00000106823
EDIL3	ENSG00000164176
EFEMP2	ENSG00000172638
ELN	ENSG00000049540
EMP3	ENSG00000142227
ENO2	ENSG00000111674
FAP	ENSG00000078098
FAS	ENSG00000026103
FBLN1	ENSG00000077942
FBLN2	ENSG00000163520
FBLN5	ENSG00000140092
FBN1	ENSG00000166147
FBN2	ENSG00000138829
FERMT2	ENSG00000073712
FGF2	ENSG00000138685
FLNA	ENSG00000196924
FMOD	ENSG00000122176
FN1	ENSG00000115414
FOXC2	ENSG00000176692
FSTL1	ENSG00000163430
FSTL3	ENSG00000070404
FUCA1	ENSG00000179163
FZD8	ENSG00000177283
GADD45A	ENSG00000116717
GADD45B	ENSG00000099860
GAS1	ENSG00000180447
GEM	ENSG00000164949
GJA1	ENSG00000152661
GLIPR1	ENSG00000139278
GPC1	ENSG00000063660
GPX7	ENSG00000116157
GREM1	ENSG00000166923
HTRA1	ENSG00000166033
ID2	ENSG00000115738
IGFBP2	ENSG00000115457
IGFBP3	ENSG00000146674
IGFBP4	ENSG00000141753
IL15	ENSG00000164136
IL32	ENSG00000008517
IL6	ENSG00000136244
INHBA	ENSG00000122641
ITGA2	ENSG00000164171
ITGA5	ENSG00000161638
